Name		Guthling	: {	1	:{
45	: ?	NIGHT SLASH	?.		
49	: ?	MOONBLAST	?.		
53	: ?	MEAN LOOK	?.		}.}.
Name		Pet_Rock	: {	123	:{
1	: ?	DEFENSE CURL	?.		
1	: ?	TACKLE	?.		
3	: ?	PLAY NICE	?.		
6	: ?	SANDSTORM	?.		
8	: ?	MINIMIZE	?.		
12	: ?	STEALTH ROCK	?.		
15	: ?	ROCK THROW	?.		
19	: ?	TAUNT	?.		
21	: ?	SHORE UP	?.		
24	: ?	ROLLOUT	?.		
27	: ?	CONFIDE	?.		
30	: ?	ROCK SLIDE	?.		
32	: ?	SNATCH	?.		
35	: ?	DIG	?.		
38	: ?	PROTECT	?.		
42	: ?	ROCK POLISH	?.		
46	: ?	AFTER YOU	?.		}.}.
Name		Strykewyrm_Freezy_Form	: {	124*	:{
1	: ?	ROTOTILLER	?.		
1	: ?	BITE	?.		
1	: ?	LEER	?.		
6	: ?	MUD SLAP	?.		
10	: ?	POWDER SNOW	?.		
15	: ?	COIL	?.		
21	: ?	DIG	?.		
26	: ?	DRAGON RAGE	?.		
31	: ?	PROTECT	?.		
35	: ?	BLIZZARD	?.		
41	: ?	EARTHQUAKE	?.		
43	: ?	HAIL	?.		
46	: ?	DRAGON PULSE	?.		
50	: ?	ATTRACT	?.		
56	: ?	GLACIATE	?.		}.}.
Name		Strykewyrm_Leafy_Form	: {	124*	:{
1	: ?	POISON STING	?.		
1	: ?	BITE	?.		
1	: ?	LEER	?.		
6	: ?	MUD SLAP	?.		
10	: ?	ABSORB	?.		
15	: ?	COIL	?.		
21	: ?	DIG	?.		
26	: ?	DRAGON RAGE	?.		
31	: ?	PROTECT	?.		
35	: ?	GIGA DRAIN	?.		
41	: ?	EARTHQUAKE	?.		
43	: ?	TOXIC	?.		
46	: ?	DRAGON PULSE	?.		
50	: ?	POISON FANG	?.		
56	: ?	DRAGON DANCE	?.		}.}.
Name		Strykewyrm_Sandy_Form	: {	124*	:{
1	: ?	EARTH POWER	?.		
1	: ?	BITE	?.		
1	: ?	LEER	?.		
6	: ?	MUD SLAP	?.		
10	: ?	SAND TOMB	?.		
15	: ?	COIL	?.		
21	: ?	DIG	?.		
26	: ?	DRAGON RAGE	?.		
31	: ?	PROTECT	?.		
35	: ?	BULLDOZE	?.		
41	: ?	EARTHQUAKE	?.		
43	: ?	SANDSTORM	?.		
46	: ?	DRAGON PULSE	?.		
50	: ?	DRAGON RUSH	?.		
56	: ?	DRAGON DANCE	?.		}.}.
Name		Strykewyrm_Wildy_Form	: {	124*	:{
1	: ?	SHELL TRAP	?.		
1	: ?	BITE	?.		
1	: ?	LEER	?.		
6	: ?	MUD SLAP	?.		
10	: ?	EMBER	?.		
15	: ?	COIL	?.		
21	: ?	DIG	?.		
26	: ?	DRAGON RAGE	?.		
31	: ?	PROTECT	?.		
35	: ?	FIRE FANG	?.		
41	: ?	EARTHQUAKE	?.		
43	: ?	LAVA PLUME	?.		
46	: ?	DRAGON PULSE	?.		
50	: ?	MAGMA STORM	?.		
56	: ?	DRAGON DANCE	?.		}.}.
Name		Scorpion	: {	125	:{
1	: ?	POISON STING	?.		
1	: ?	LEER	?.		
5	: ?	VICE GRIP	?.		
9	: ?	SAND TOMB	?.		
13	: ?	BUG BITE	?.		
16	: ?	HONE CLAWS	?.		
20	: ?	FELL STINGER	?.		
23	: ?	DIG	?.		
27	: ?	X SCISSOR	?.		
30	: ?	POISON FANG	?.		
34	: ?	TOXIC SPIKES	?.		
38	: ?	NIGHT SLASH	?.		
41	: ?	SPIKES	?.		
45	: ?	STOMPING TANTRUM	?.		
47	: ?	GUILLOTINE	?.		
49	: ?	CROSS POISON	?.		}.}.
Name		King_Scorpion	: {	126	:{
1	: ?	CRABHAMMER	?.		
1	: ?	POISON STING	?.		
1	: ?	LEER	?.		
5	: ?	VICE GRIP	?.		
9	: ?	SAND TOMB	?.		
13	: ?	BUG BITE	?.		
16	: ?	HONE CLAWS	?.		
20	: ?	FELL STINGER	?.		
23	: ?	DIG	?.		
27	: ?	X SCISSOR	?.		
32	: ?	POISON FANG	?.		
36	: ?	TOXIC SPIKES	?.		
39	: ?	NIGHT SLASH	?.		
43	: ?	SPIKES	?.		
49	: ?	STOMPING TANTRUM	?.		
53	: ?	GUILLOTINE	?.		
57	: ?	CROSS POISON	?.		}.}.
Name		Peepling	: {	127	:{
1	: ?	TELEPORT	?.		
1	: ?	CONFUSION	?.		
1	: ?	LEER	?.		
4	: ?	NIGHT SHADE	?.		
8	: ?	HYPNOSIS	?.		
11	: ?	NIGHTMARE	?.		
18	: ?	MEAN LOOK	?.		
21	: ?	PSYBEAM	?.		
24	: ?	TEARFUL LOOK	?.		
28	: ?	DREAM EATER	?.		
32	: ?	MIRACLE EYE	?.		
37	: ?	PSYCHIC	?.		
43	: ?	GLARE	?.		
45	: ?	DARK PULSE	?.		
50	: ?	NIGHT DAZE	?.		}.}.
Name		Sneakerpeeper	: {	128	:{
1	: ?	TELEPORT	?.		
1	: ?	MIRACLE EYE	?.		
1	: ?	LEER	?.		
1	: ?	CONFUSION	?.		
1	: ?	BODY SLAM	?.		
7	: ?	NIGHT SHADE	?.		
14	: ?	HYPNOSIS	?.		
19	: ?	NIGHTMARE	?.		
24	: ?	PSYBEAM	?.		
28	: ?	TEARFUL LOOK	?.		
32	: ?	MIRACLE EYE	?.		
36	: ?	PURSUIT	?.		
40	: ?	PSYCHIC	?.		
43	: ?	GLARE	?.		
48	: ?	DARK PULSE	?.		
51	: ?	NIGHT DAZE	?.		}.}.
Name		Runtstable	: {	129	:{
1	: ?	GROWL	?.		
1	: ?	TACKLE	?.		
4	: ?	ABSORB	?.		
8	: ?	BITE	?.		
12	: ?	LEECH SEED	?.		
18	: ?	POISON POWDER	?.		
22	: ?	MEGA DRAIN	?.		
26	: ?	CRUNCH	?.		
28	: ?	DRAGONBREATH	?.		
31	: ?	STRENGTH SAP	?.		
34	: ?	GIGA DRAIN	?.		
39	: ?	SYNTHESIS	?.		
44	: ?	DOUBLE EDGE	?.		
48	: ?	SOLARBEAM	?.		
53	: ?	SEED BOMB	?.		
58	: ?	DRAGON RUSH	?.		}.}.
Name		Basilisk	: {	130	:{
1	: ?	ROCK THROW	?.		
1	: ?	CONFIDE	?.		
5	: ?	HARDEN	?.		
9	: ?	ROCK TOMB	?.		
13	: ?	MEAN LOOK	?.		
18	: ?	HONE CLAWS	?.		
21	: ?	CHIP AWAY	?.		
25	: ?	IRON DEFENSE	?.		
27	: ?	GLARE	?.		
31	: ?	DRAGON CLAW	?.		
35	: ?	ROCK SLIDE	?.		
40	: ?	STEALTH ROCK	?.		
45	: ?	DRAGON RUSH	?.		
49	: ?	HEAD SMASH	?.		
55	: ?	DRAGON DANCE	?.		
60	: ?	DRAGON PULSE	?.		}.}.
Name		Baby_Mole	: {	131	:{
1	: ?	DIG	?.		
1	: ?	SCRATCH	?.		
1	: ?	HOWL	?.		
1	: ?	ODOR SLEUTH	?.		
1	: ?	MUD SLAP	?.		
3	: ?	ROTOTILLER	?.		
7	: ?	NATURE POWER	?.		
13	: ?	MUD BOMB	?.		
20	: ?	CRUSH CLAW	?.		
25	: ?	HONE CLAWS	?.		
30	: ?	DIG	?.		
36	: ?	SLASH	?.		
40	: ?	FOLLOW ME	?.		
44	: ?	EARTHQUAKE	?.		}.}.
Name		Giant_Mole	: {	132	:{
1	: ?	DIG	?.		
1	: ?	SCRATCH	?.		
1	: ?	HOWL	?.		
1	: ?	ODOR SLEUTH	?.		
1	: ?	MUD SLAP	?.		
6	: ?	ROTOTILLER	?.		
11	: ?	NATURE POWER	?.		
17	: ?	MUD BOMB	?.		
23	: ?	CRUSH CLAW	?.		
28	: ?	HONE CLAWS	?.		
37	: ?	DIG	?.		
45	: ?	SLASH	?.		
53	: ?	FOLLOW ME	?.		
61	: ?	EARTHQUAKE	?.		
69	: ?	U TURN	?.		
75	: ?	PRECIPICE BLADES	?.		}.}.
Name		Squirrel	: {	133	:{
1	: ?	POUND	?.		
1	: ?	SNATCH	?.		
7	: ?	DISARMING VOICE	?.		
11	: ?	PLAY NICE	?.		
14	: ?	BULLET SEED	?.		
17	: ?	SWEET KISS	?.		
20	: ?	COVET	?.		
23	: ?	THIEF	?.		
25	: ?	CAPTIVATE	?.		
30	: ?	SUPER FANG	?.		
31	: ?	CHARM	?.		
34	: ?	HYPER FANG	?.		
39	: ?	SEED BOMB	?.		
42	: ?	PLAY ROUGH	?.		
45	: ?	AGILITY	?.		
50	: ?	LAST RESORT	?.		}.}.
Name		Ravenling	: {	134	:{
1	: ?	HAZE	?.		
1	: ?	PECK	?.		
1	: ?	GROWL	?.		
2	: ?	FEINT ATTACK	?.		
4	: ?	NIGHT SHADE	?.		
8	: ?	THIEF	?.		
11	: ?	FEATHER DANCE	?.		
15	: ?	WING ATTACK	?.		
18	: ?	MIRROR MOVE	?.		
22	: ?	PUNISHMENT	?.		
25	: ?	FOUL PLAY	?.		
29	: ?	PERISH SONG	?.		
32	: ?	DARK PULSE	?.		
36	: ?	NIGHT DAZE	?.		}.}.
Name		Raven_Normal_Form	: {	135*	:{
1	: ?	OMINOUS WIND	?.		
1	: ?	PECK	?.		
1	: ?	GROWL	?.		
4	: ?	FEINT ATTACK	?.		
6	: ?	NIGHT SHADE	?.		
10	: ?	THIEF	?.		
13	: ?	FEATHER DANCE	?.		
16	: ?	WING ATTACK	?.		
19	: ?	MIRROR MOVE	?.		
23	: ?	PUNISHMENT	?.		
25	: ?	FOUL PLAY	?.		
30	: ?	PERISH SONG	?.		
34	: ?	DARK PULSE	?.		
36	: ?	DRILL PECK	?.		
39	: ?	TORMENT	?.		
43	: ?	NIGHT DAZE	?.		
48	: ?	PAYBACK	?.		}.}.
Name		Raven_Nevermore_Form	: {	135*	:{
1	: ?	OMINOUS WIND	?.		
1	: ?	PECK	?.		
1	: ?	GROWL	?.		
4	: ?	FEINT ATTACK	?.		
6	: ?	NIGHT SHADE	?.		
10	: ?	THIEF	?.		
13	: ?	FEATHER DANCE	?.		
16	: ?	WING ATTACK	?.		
19	: ?	MIRROR MOVE	?.		
23	: ?	PUNISHMENT	?.		
25	: ?	FOUL PLAY	?.		
30	: ?	PERISH SONG	?.		
34	: ?	DARK PULSE	?.		
36	: ?	DRILL PECK	?.		
39	: ?	MEMENTO	?.		
43	: ?	NIGHT DAZE	?.		
48	: ?	PAYBACK	?.		}.}.
Name		Magpie	: {	136	:{
1	: ?	SPECTRAL THIEF	?.		
1	: ?	PECK	?.		
1	: ?	GROWL	?.		
4	: ?	FAIRY WIND	?.		
6	: ?	NIGHT SHADE	?.		
10	: ?	THIEF	?.		
13	: ?	FEATHER DANCE	?.		
16	: ?	WING ATTACK	?.		
19	: ?	MIRROR MOVE	?.		
23	: ?	PLAY ROUGH	?.		
25	: ?	FOUL PLAY	?.		
30	: ?	PERISH SONG	?.		
34	: ?	DARK PULSE	?.		
36	: ?	DRILL PECK	?.		
39	: ?	SWITCHEROO	?.		
43	: ?	U TURN	?.		
48	: ?	MOONBLAST	?.		}.}.
Name		Grey_Chinchompa	: {	137	:{
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
4	: ?	SELF DESTRUCT	?.		
7	: ?	CHARGE	?.		
10	: ?	TORMENT	?.		
13	: ?	TAIL WHIP	?.		
16	: ?	PAIN SPLIT	?.		
19	: ?	SCREECH	?.		
22	: ?	DESTINY BOND	?.		
25	: ?	EXPLOSION	?.		
28	: ?	GRUDGE	?.		
31	: ?	LAST RESORT	?.		
34	: ?	MIND BLOWN	?.		}.}.
Name		Red_Chinchompa	: {	138	:{
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
5	: ?	SELF DESTRUCT	?.		
8	: ?	CHARGE	?.		
11	: ?	TORMENT	?.		
15	: ?	TAIL WHIP	?.		
18	: ?	PAIN SPLIT	?.		
21	: ?	SCREECH	?.		
24	: ?	DESTINY BOND	?.		
26	: ?	EXPLOSION	?.		
30	: ?	GRUDGE	?.		
32	: ?	LAST RESORT	?.		
36	: ?	MIND BLOWN	?.		
40	: ?	ACUPRESSURE	?.		}.}.
Name		Gold_Chinchompa	: {	139	:{
1	: ?	TACKLE	?.		
1	: ?	GROWL	?.		
5	: ?	SELF DESTRUCT	?.		
8	: ?	CHARGE	?.		
11	: ?	TACKLE	?.		
15	: ?	TAIL WHIP	?.		
18	: ?	HYPER FANG	?.		
21	: ?	SCREECH	?.		
24	: ?	DESTINY BOND	?.		
26	: ?	EXPLOSION	?.		
30	: ?	HEAVY SLAM	?.		
32	: ?	LAST RESORT	?.		
36	: ?	DOUBLE EDGE	?.		
40	: ?	ACUPRESSURE	?.		}.}.
Name		Vultling	: {	140	:{
1	: ?	sand ATTACK	?.		
1	: ?	PECK	?.		
2	: ?	GROWL	?.		
4	: ?	GUST	?.		
8	: ?	BONE RUSH	?.		
11	: ?	WING ATTACK	?.		
15	: ?	SAND TOMB	?.		
18	: ?	FEATHER DANCE	?.		
22	: ?	AERIAL ACE	?.		
25	: ?	BONEMERANG	?.		
29	: ?	SANDSTORM	?.		
32	: ?	HEAT WAVE	?.		
36	: ?	DRILL PECK	?.		
39	: ?	STOMPING TANTRUM	?.		
43	: ?	SKY ATTACK	?.		}.}.
Name		Vulture	: {	141	:{
1	: ?	sand ATTACK	?.		
1	: ?	PECK	?.		
4	: ?	GROWL	?.		
6	: ?	GUST	?.		
10	: ?	BONE RUSH	?.		
13	: ?	WING ATTACK	?.		
16	: ?	SAND TOMB	?.		
19	: ?	FEATHER DANCE	?.		
23	: ?	AERIAL ACE	?.		
25	: ?	BONEMERANG	?.		
30	: ?	SANDSTORM	?.		
34	: ?	HEAT WAVE	?.		
37	: ?	DRILL PECK	?.		
40	: ?	STOMPING TANTRUM	?.		
44	: ?	AGILITY	?.		
48	: ?	SKY ATTACK	?.		
52	: ?	EARTH POWER	?.		}.}.
Name		Pengling	: {	142	:{
1	: ?	HAZE	?.		
1	: ?	FRUSTRATION	?.		
1	: ?	PECK	?.		
2	: ?	ICY WIND	?.		
4	: ?	WATER SPORT	?.		
8	: ?	WATER PULSE	?.		
11	: ?	NASTY PLOT	?.		
15	: ?	AURORA BEAM	?.		
18	: ?	HAIL	?.		
22	: ?	DRILL PECK	?.		
25	: ?	BRINE	?.		
29	: ?	AURORA VEIL	?.		
32	: ?	DIVE	?.		
36	: ?	BLIZZARD	?.		}.}.
Name		Penguin	: {	143	:{
1	: ?	HAZE	?.		
1	: ?	RETURN	?.		
1	: ?	PECK	?.		
2	: ?	ICY WIND	?.		
5	: ?	WATER SPORT	?.		
8	: ?	WATER PULSE	?.		
11	: ?	NASTY PLOT	?.		
15	: ?	AURORA BEAM	?.		
18	: ?	HAIL	?.		
22	: ?	DRILL PECK	?.		
25	: ?	BRINE	?.		
29	: ?	AURORA VEIL	?.		
33	: ?	DIVE	?.		
36	: ?	REVENGE	?.		
39	: ?	BLIZZARD	?.		
43	: ?	CONFIDE	?.		
48	: ?	GLACIATE	?.		}.}.
Name		Ex_Ex_Parrot	: {	144	:{
1	: ?	OMINOUS WIND	?.		
1	: ?	PECK	?.		
1	: ?	GRUDGE	?.		
4	: ?	REST	?.		
6	: ?	NIGHT SHADE	?.		
10	: ?	SLEEP TALK	?.		
13	: ?	WING ATTACK	?.		
16	: ?	ROOST	?.		
19	: ?	MIMIC	?.		
23	: ?	CHATTER	?.		
25	: ?	TAUNT	?.		
30	: ?	DESTINY BOND	?.		
34	: ?	SHADOW CLAW	?.		
36	: ?	CONFIDE	?.		
39	: ?	GRUDGE	?.		
43	: ?	PHANTOM FORCE	?.		
48	: ?	SKY ATTACK	?.		}.}.
Name		Broav	: {	145	:{
1	: ?	TACKLE	?.		
1	: ?	TICKLE	?.		
1	: ?	MUD SLAP	?.		
3	: ?	COVET	?.		
7	: ?	REST	?.		
10	: ?	ODOR SLEUTH	?.		
13	: ?	SNORE	?.		
19	: ?	MUD BOMB	?.		
22	: ?	TAKE DOWN	?.		
30	: ?	AMNESIA	?.		
35	: ?	STOMPING TANTRUM	?.		
43	: ?	BELCH	?.		
48	: ?	SKULL BASH	?.		
50	: ?	DIG	?.		}.}.
Name		Tooth_Creature	: {	146	:{
1	: ?	ROCK WRECKER	?.		
1	: ?	TACKLE	?.		
1	: ?	HARDEN	?.		
4	: ?	ROCK THROW	?.		
7	: ?	SCREECH	?.		
15	: ?	BITE	?.		
19	: ?	ICE FANG	?.		
22	: ?	IRON DEFENSE	?.		
25	: ?	THUNDER FANG	?.		
29	: ?	FIRE FANG	?.		
33	: ?	CRUNCH	?.		
37	: ?	SPIKES	?.		
41	: ?	ROCK SLIDE	?.		
44	: ?	SHELL SMASH	?.		
49	: ?	PSYCHIC FANGS	?.		
53	: ?	STONE EDGE	?.		
57	: ?	HYPER FANG	?.		}.}.
Name		Rune_Guardian	: {	147	:{
1	: ?	TRI ATTACK	?.		
1	: ?	CONFUSION	?.		
1	: ?	SPLASH	?.		
4	: ?	MUD SLAP	?.		
7	: ?	PSYWAVE	?.		
15	: ?	CAMOUFLAGE	?.		
19	: ?	PSYBEAM	?.		
22	: ?	PSYCHO SHIFT	?.		
25	: ?	CALM MIND	?.		
29	: ?	MUD BOMB	?.		
33	: ?	TRI ATTACK	?.		
37	: ?	COSMIC POWER	?.		
41	: ?	EARTH POWER	?.		
43	: ?	PSYCHIC	?.		
49	: ?	STORED POWER	?.		
53	: ?	LIGHT SCREEN	?.		
57	: ?	MIST BALL	?.		}.}.
Name		Gnomey	: {	148	:{
1	: ?	CHARM	?.		
1	: ?	SELFDESTRUCT	?.		
1	: ?	IRON DEFENSE	?.		
1	: ?	DAZZLING GLEAM	?.		}.}.
Name		Sparkles	: {	149	:{
1	: ?	BIND	?.		
5	: ?	ICY WIND	?.		
11	: ?	SPITE	?.		
16	: ?	YAWN	?.		
21	: ?	PLAY NICE	?.		
23	: ?	OMINOUS WIND	?.		
26	: ?	DESTINY BOND	?.		
28	: ?	COIL	?.		
31	: ?	DAZZLING GLEAM	?.		
34	: ?	ENDEAVOR	?.		
37	: ?	SPIRIT SHACKLE	?.		
40	: ?	ICE BEAM	?.		
44	: ?	PLAY ROUGH	?.		
48	: ?	CELEBRATE	?.		
51	: ?	PHANTOM FORCE	?.		
54	: ?	BLIZZARD	?.		
59	: ?	HAIL	?.		}.}.
Name		Bat	: {	150	:{
1	: ?	ASTONISH	?.		
5	: ?	SUPERSONIC	?.		
7	: ?	BITE	?.		
11	: ?	HAZE	?.		
14	: ?	WING ATTACK	?.		
17	: ?	NASTY PLOT	?.		
21	: ?	AIR CUTTER	?.		
24	: ?	LEECH LIFE	?.		
27	: ?	CONFUSE RAY	?.		
31	: ?	CRUNCH	?.		
33	: ?	TAILWIND	?.		
37	: ?	SCREECH	?.		
41	: ?	DARK PULSE	?.		
44	: ?	TAUNT	?.		
48	: ?	AIR SLASH	?.		}.}.
Name		Giant_Bat	: {	151	:{
1	: ?	SUPERSONIC	?.		
1	: ?	ASTONISH	?.		
5	: ?	BITE	?.		
7	: ?	NASTY PLOT	?.		
11	: ?	HAZE	?.		
13	: ?	CONFUSION	?.		
17	: ?	POISON FANG	?.		
19	: ?	AIR CUTTER	?.		
24	: ?	LEECH LIFE	?.		
27	: ?	CONFUSE RAY	?.		
32	: ?	CRUNCH	?.		
35	: ?	TAILWIND	?.		
40	: ?	SCREECH	?.		
43	: ?	DARK PULSE	?.		
48	: ?	TAUNT	?.		
51	: ?	AIR SLASH	?.		}.}.
Name		Warped_Bat	: {	152	:{
1	: ?	MIST BALL	?.		
1	: ?	SUPERSONIC	?.		
1	: ?	ASTONISH	?.		
5	: ?	BITE	?.		
7	: ?	NASTY PLOT	?.		
11	: ?	HAZE	?.		
13	: ?	PSYBEAM	?.		
17	: ?	POISON FANG	?.		
19	: ?	AIR CUTTER	?.		
24	: ?	LEECH LIFE	?.		
27	: ?	CONFUSE RAY	?.		
32	: ?	PSYCHIC FANGS	?.		
35	: ?	EXTRASENSORY	?.		
40	: ?	HYPER VOICE	?.		
43	: ?	GRAVITY	?.		
48	: ?	PSYCHIC	?.		
51	: ?	AIR SLASH	?.		}.}.
Name		Albino_Bat	: {	153	:{
1	: ?	HYPER VOICE	?.		
1	: ?	SUPERSONIC	?.		
1	: ?	ASTONISH	?.		
5	: ?	BITE	?.		
7	: ?	NASTY PLOT	?.		
11	: ?	HAZE	?.		
13	: ?	TAKE DOWN	?.		
17	: ?	POISON FANG	?.		
19	: ?	AIR CUTTER	?.		
24	: ?	LEECH LIFE	?.		
27	: ?	SCREECH	?.		
32	: ?	CRUNCH	?.		
35	: ?	TAILWIND	?.		
40	: ?	SCREECH	?.		
43	: ?	HYPER VOICE	?.		
48	: ?	TAUNT	?.		
51	: ?	AIR SLASH	?.		}.}.
Name		Bat_in_a_Box	: {	154	:{
1	: ?	SUPERSONIC	?.		
1	: ?	ASTONISH	?.		
5	: ?	BITE	?.		
7	: ?	NASTY PLOT	?.		
11	: ?	HAZE	?.		
13	: ?	DISARMING VOICE	?.		
17	: ?	POISON FANG	?.		
19	: ?	AIR CUTTER	?.		
24	: ?	LEECH LIFE	?.		
27	: ?	CONFUSE RAY	?.		
32	: ?	CRUNCH	?.		
35	: ?	TAILWIND	?.		
40	: ?	SCREECH	?.		
43	: ?	DARK PULSE	?.		
48	: ?	TAUNT	?.		
51	: ?	AIR SLASH	?.		}.}.
Name		Fruit_Bat	: {	155	:{
1	: ?	LEECH SEED	?.		
1	: ?	SUPERSONIC	?.		
1	: ?	ASTONISH	?.		
5	: ?	BITE	?.		
7	: ?	NASTY PLOT	?.		
11	: ?	HAZE	?.		
13	: ?	RECYCLE	?.		
17	: ?	BULLET SEED	?.		
19	: ?	AIR CUTTER	?.		
24	: ?	BUG BITE	?.		
27	: ?	SCREECH	?.		
32	: ?	CRUNCH	?.		
35	: ?	LEECH SEED	?.		
40	: ?	SCREECH	?.		
43	: ?	SEED BOMB	?.		
48	: ?	TAUNT	?.		
51	: ?	AIR SLASH	?.		}.}.
Name		Vampyre_Bat	: {	156	:{
1	: ?	HYPER VOICE	?.		
1	: ?	STRENGTH SAP	?.		
1	: ?	ABSORB	?.		
5	: ?	BITE	?.		
7	: ?	NASTY PLOT	?.		
11	: ?	HAZE	?.		
13	: ?	GIGA DRAIN	?.		
17	: ?	POISON FANG	?.		
19	: ?	AIR CUTTER	?.		
24	: ?	LEECH LIFE	?.		
27	: ?	SCREECH	?.		
32	: ?	CRUNCH	?.		
35	: ?	TAILWIND	?.		
40	: ?	SCREECH	?.		
43	: ?	DARK PULSE	?.		
48	: ?	STRENGTH SAP	?.		
51	: ?	BUG BUZZ	?.		}.}.
Name		Imp	: {	157	:{
1	: ?	TELEPORT	?.		
1	: ?	POUND	?.		
3	: ?	LEER	?.		
7	: ?	THIEF	?.		
10	: ?	TAUNT	?.		
14	: ?	CONFIDE	?.		
17	: ?	KNOCK OFF	?.		
20	: ?	BULK UP	?.		
24	: ?	FOUL PLAY	?.		
28	: ?	TRI ATTACK	?.		
32	: ?	SNARL	?.		
35	: ?	MIND READER	?.		
39	: ?	DARK PULSE	?.		
44	: ?	MEAN LOOK	?.		
48	: ?	EMBARGO	?.		}.}.
Name		Lesser_Demon	: {	158	:{
1	: ?	SCREECH	?.		
1	: ?	SCRATCH	?.		
3	: ?	HONE CLAWS	?.		
8	: ?	BITE	?.		
11	: ?	TAUNT	?.		
14	: ?	LOW KICK	?.		
17	: ?	KNOCK OFF	?.		
20	: ?	BULK UP	?.		
25	: ?	CRUNCH	?.		
30	: ?	SWAGGER	?.		
33	: ?	SNARL	?.		
38	: ?	MIND READER	?.		
42	: ?	DARK PULSE	?.		
45	: ?	MEAN LOOK	?.		
50	: ?	CLOSE COMBAT	?.		
53	: ?	EMBARGO	?.		}.}.
Name		Greater_Demon	: {	159	:{
1	: ?	SCREECH	?.		
1	: ?	SCRATCH	?.		
3	: ?	HONE CLAWS	?.		
8	: ?	BITE	?.		
11	: ?	TAUNT	?.		
15	: ?	LOW KICK	?.		
18	: ?	KNOCK OFF	?.		
22	: ?	BULK UP	?.		
26	: ?	CRUNCH	?.		
31	: ?	SWAGGER	?.		
35	: ?	SNARL	?.		
40	: ?	MIND READER	?.		
44	: ?	DARK PULSE	?.		
48	: ?	MEAN LOOK	?.		
52	: ?	FOCUS BLAST	?.		
55	: ?	EMBARGO	?.		
60	: ?	CLOSE COMBAT	?.		}.}.
Name		Kalgerion_Demon	: {	160	:{
1	: ?	SCREECH	?.		
1	: ?	SLASH	?.		
3	: ?	HONE CLAWS	?.		
8	: ?	BITE	?.		
12	: ?	TAUNT	?.		
16	: ?	LOW KICK	?.		
20	: ?	KNOCK OFF	?.		
25	: ?	SWAGGER	?.		
29	: ?	CRUNCH	?.		
35	: ?	LOW KICK	?.		
40	: ?	SNARL	?.		
43	: ?	MIND READER	?.		
47	: ?	DARK PULSE	?.		
50	: ?	MEAN LOOK	?.		
54	: ?	FOCUS BLAST	?.		
57	: ?	EMBARGO	?.		
63	: ?	CLOSE COMBAT	?.		}.}.
Name		Pyrefiend	: {	161	:{
1	: ?	EMBER	?.		
1	: ?	SMOKESCREEN	?.		
3	: ?	LEER	?.		
7	: ?	GRUDGE	?.		
10	: ?	TAUNT	?.		
14	: ?	HEX	?.		
16	: ?	FLAME BURST	?.		
19	: ?	WILL O WISP	?.		
24	: ?	FOUL PLAY	?.		
28	: ?	SHADOW CLAW	?.		
31	: ?	SNARL	?.		
36	: ?	MIND READER	?.		
40	: ?	FLAMETHROWER	?.		
43	: ?	EMBARGO	?.		
46	: ?	INFERNO	?.		}.}.
Name		Pyrelord	: {	162	:{
1	: ?	EMBER	?.		
1	: ?	SMOKESCREEN	?.		
3	: ?	BONE RUSH	?.		
8	: ?	GRUDGE	?.		
11	: ?	TAUNT	?.		
15	: ?	HEX	?.		
17	: ?	FLAME BURST	?.		
20	: ?	WILL O WISP	?.		
25	: ?	FOUL PLAY	?.		
30	: ?	SHADOW CLAW	?.		
33	: ?	SNARL	?.		
38	: ?	MIND READER	?.		
42	: ?	FLAMETHROWER	?.		
45	: ?	EMBARGO	?.		
50	: ?	SHADOW FORCE	?.		
53	: ?	INFERNO	?.		}.}.
Name		Waterfiend	: {	163	:{
1	: ?	WATER GUN	?.		
1	: ?	WATER SPORT	?.		
3	: ?	LEER	?.		
7	: ?	GRUDGE	?.		
10	: ?	TAUNT	?.		
14	: ?	HEX	?.		
16	: ?	WATER PULSE	?.		
19	: ?	SOAK	?.		
24	: ?	FOUL PLAY	?.		
28	: ?	SHADOW CLAW	?.		
31	: ?	SNARL	?.		
36	: ?	MIND READER	?.		
40	: ?	WATERFALL	?.		
43	: ?	EMBARGO	?.		
46	: ?	HYDRO PUMP	?.		}.}.
Name		Waterlord	: {	164	:{
1	: ?	WATER GUN	?.		
1	: ?	WATER SPORT	?.		
3	: ?	BONE RUSH	?.		
8	: ?	GRUDGE	?.		
11	: ?	TAUNT	?.		
15	: ?	HEX	?.		
17	: ?	WATER PULSE	?.		
20	: ?	SOAK	?.		
25	: ?	FOUL PLAY	?.		
30	: ?	SHADOW CLAW	?.		
33	: ?	SNARL	?.		
38	: ?	MIND READER	?.		
42	: ?	WATERFALL	?.		
45	: ?	EMBARGO	?.		
50	: ?	SHADOW FORCE	?.		
53	: ?	HYDRO PUMP	?.		}.}.
Name		Icefiend	: {	165	:{
1	: ?	ICY WIND	?.		
1	: ?	HAIL	?.		
3	: ?	LEER	?.		
7	: ?	GRUDGE	?.		
10	: ?	TAUNT	?.		
14	: ?	HEX	?.		
16	: ?	POWDER SNOW	?.		
19	: ?	CONFUSE RAY	?.		
24	: ?	FOUL PLAY	?.		
28	: ?	SHADOW CLAW	?.		
31	: ?	SNARL	?.		
36	: ?	MIND READER	?.		
