, , , , , , , BASE STATS, , , , , , , , EXTRA INFORMATION, , , , , , , , , , , , EFFORT VALUES, , , , , , , Unnecessary Information, , , , , 
229, Warped_Bat, DARK, PSYCHIC, LIQUID_OOZE, SYNCHRONIZE, , 500, 76, 99, 75, 100, 70, 80, , -, -, 154, medium fast, 50, 45, 70, 20, FIELD, , 0, , , , , 2, , , , , Magic, 5120, BAT, Warped Bat, TELEPATHY
230, Albino_Bat, NORMAL, FLYING, IMMUNITY, POISON_HEAL, , 500, 100, 70, 85, 70, 85, 90, , -, -, 154, Medium fast, 50, 45, 70, 20, FIELD, , 0, , 2, , , , , , , , Slayer, 5120, BAT, Albino Bat, POISON_HEAL
231, Bat_Box_Form, DARK, FLYING, SOUNDPROOF, UNAWARE, , 365, 60, 65, 80, 60, 80, 20, , -, -, 129, medium fast, 50, 110, 70, 20, FIELD, , 0, , , , , , , 2, , , Hunter, 5120, BAT, Bat, UNAWARE
232, Fruit_Bat, GRASS, FLYING, UNBURDEN, SAP_SIPPER, , 500, 91, 75, 76, 84, 89, 85, , -, -, 156, Medium fast, 50, 45, 70, 20, FIELD, , 0, , , , , , 2, , , , Summoning, 5120, BAT, Fruit Bat, PICKUP
233, VampyreBat, DARK, BUG, REGENERATOR, HAEMANCY, , 500, 81, 109, 70, 100, 70, 70, , -, -, 156, medium fast, 50, 45, 70, 20, FIELD, , 0, , , 2, , , , , , , Summoning, 5120, BAT, VampyreBat, STRONG_JAW
234, Deathwing, DARK, FLYING, INNER_FOCUS, UNAWARE, , 500, 85, 94, 71, 95, 75, 80, , -, -, 156, medium fast, 50, 45, 70, 20, FIELD, , 0, , , , , , , 2, , , Quest, 5120, BAT, Deathwing, 
235, Shaikah, NORMAL, -, RIVALRY, STRONG_JAW, , 520, 70, 130, 60, 80, 70, 110, , -, -, 121, medium slow, 100, 45, 70, 20, FIELD, , 0, , , 2, , , , , , , Quest, 5120, , Shaikah, 
236, Growler, NORMAL, FAIRY, RIVALRY, STRONG_JAW, , 520, 70, 80, 70, 130, 110, 60, , -, -, 121, medium slow, 25, 45, 70, 20, FIELD, , 0, , , 1, , 1, , , , , Prayer, 5120, , Growler, 
237, Phoenling_Rebirth_Form, FIRE, -, FLAME_BODY, BIG_PECKS, , 320, 69, 32, 50, 69, 50, 50, , -, -, 121, medium slow, 50, 200, 70, 20, FLYING, , 0, , , , , , 1, , , , Qfiremaking, 5120, BIRD, Phoenling, BIG_PECKS
238, Phoenling_Reborn_Form, FIRE, -, FLAME_BODY, BIG_PECKS, , 320, 69, 69, 50, 32, 50, 50, , -, -, 121, medium slow, 50, 200, 70, 20, FLYING, , 0, , , , , , 1, , , , Firemaking, 5120, BIRD, Phoenling, BIG_PECKS
239, Phoenix_Rebirth_Form, FIRE, -, FLAME_BODY, BIG_PECKS, , 535, 75, 105, 60, 120, 100, 75, , -, -, 121, medium slow, 100, 45, 70, 20, FLYING, , 0, , , , , , 2, , , , Firemaking, 5120, BIRD, Phoenix, BIG_PECKS
240, Phoenix_Reborn_Form, FIRE, -, FLAME_BODY, BIG_PECKS, , 535, 75, 120, 70, 105, 90, 75, , -, -, 121, medium slow, 25, 45, 70, 20, FLYING, , 0, , , , , , 2, , , , Firemaking, 5120, BIRD, Phoenix, BIG_PECKS
241, Plant_Strange_Form, GRASS, -, CHLOROPHYLL, MERCILESS, , 275, 50, 40, 50, 65, 50, 20, , -, -, 121, ERRATIC, Genderless, 90, 70, 20, GRASS, LIFE, 0, , 1, , , , , , , , Farming, 3840, PLANT, Plant, 
242, Plant_Stranger_Form, GRASS, -, CHLOROPHYLL, MERCILESS, , 380, 80, 60, 60, 70, 70, 40, , -, -, 121, ERRATIC, Genderless, 45, 70, 20, GRASS, LIFE, 0, , 2, , , , , , , , Farming, 3840, PLANT, Plant, 
243, EvilTurnip, GRASS, GHOST, CHLOROPHYLL, MERCILESS, , 505, 80, 80, 100, 95, 90, 60, , -, -, 160, ERRATIC, Genderless, 45, 70, 15, GRASS, LIFE, 0, , 2, , , , , , , , Farming, 3840, PLANT, EvilTurnip, MERCILESS
244, Creature_Cute_Form, FAIRY, -, CUTE_CHARM, DISGUISE, , 340, 90, 40, 40, 40, 40, 90, , -, -, 130, fast, 50, 45, 200, 20, FAIRY, , 0, , 1, , , , , , , , Quest, 5120, , Creature, DISGUISE
245, Creature_Evil_Form, FAIRY, -, DISGUISE, DISGUISE, , 340, 90, 40, 40, 40, 40, 90, , -, -, 130, fast, 50, 45, 200, 20, FAIRY, , 0, , 1, , , , , , , , Quest, 5120, , Creature, DISGUISE
246, Baby_Yak, NORMAL, GRASS, THICK_FAT, ROCK_HEAD, , 280, 60, 55, 50, 45, 50, 20, , -, -, 47, medium fast, 50, 200, 100, 20, FIELD, , 0, , 1, , , , , , , , Farming, 5120, YAK, Baby Yak, MOODY
247, Yak_Normal_Form, NORMAL, GRASS, THICK_FAT, ROCK_HEAD, , 374, 80, 55, 72, 57, 72, 38, , -, -, 64, medium fast, 50, 120, 100, 20, FIELD, , 0, , 2, , , , , , , , Farming, 5120, YAK, Yak, MOODY
248, Yak_Pack_Form, NORMAL, GRASS, THICK_FAT, ROCK_HEAD, , 520, 104, 75, 106, 85, 106, 44, , -, -, 142, medium fast, 50, 45, 100, 20, FIELD, , 0, , 2, , , , , , , , Summoning, 5120, YAK, Yak, MOODY
249, Yak_Sacred_Form, FAIRY, GRASS, THICK_FAT, SERENE_GRACE, , 520, 100, 85, 100, 90, 110, 35, , -, -, 142, medium fast, 50, 45, 100, 20, FIELD, , 0, , 1, , , , 1, , , , Farming, 5120, YAK, Yak, MOODY
250, Yak_ClueScroll_Form, STEEL, GRASS, SUPER_LUCK, STAKEOUT, , 520, 100, 95, 101, 80, 90, 54, , -, -, 142, medium fast, 50, 45, 100, 20, FIELD, , 0, , 1, , 1, , , , , , Farming, 5120, YAK, Yak, STAKEOUT
251, Yak_Undead_Form, GRASS, GHOST, MUMMY, CURSED_BODY, , 520, 90, 100, 101, 94, 101, 34, , -, -, 142, medium fast, 50, 45, 100, 20, FIELD, , 0, , 1, , 1, , , , , , Prayer, 5120, YAK, Yak, MUMMY
252, Yak_Snack_Form, GRASS, NORMAL, THICK_FAT, MOODY, , 520, 144, 70, 101, 80, 101, 24, , -, -, 142, medium fast, 50, 45, 100, 20, FIELD, , 0, , 3, , , , , , , , Cooking, 5120, YAK, Yak, MOODY
253, Minitrice, ROCK, -, PETRIFY, MARVEL_SCALE, , 345, 65, 61, 90, 45, 54, 30, , -, -, 56, slow, 50, 200, 0, 20, FLYING, MONSTER, 0, , , , 1, , , , , , Slayer, 5120, , Minitrice, ROCK_HEAD
254, Cockatrice, ROCK, FLYING, PETRIFY, MARVEL_SCALE, , 468, 99, 91, 79, 45, 94, 60, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , , , 2, , , , , , Slayer, 5120, , Cockatrice, ROCK_HEAD
255, Guthatrice, ROCK, GRASS, PETRIFY, OVERGROW, , 513, 119, 70, 60, 91, 79, 94, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , , , 2, , , , , , Herblore, 5120, , Guthatrice, GRASS_PELT
256, Zamatrice, ROCK, FIRE, PETRIFY, BLAZE, , 513, 60, 79, 94, 119, 70, 91, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , , 2, , , , , , , Firemaking, 5120, , Zamatrice, SOLAR_POWER
257, Saratrice, ROCK, WATER, PETRIFY, TORRENT, , 513, 94, 70, 60, 91, 119, 79, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , , , , 2, , , , , Magic, 5120, , Saratrice, RAIN_DISH
258, Corxatrice, ROCK, DARK, PETRIFY, PICKPOCKET, , 513, 60, 94, 79, 119, 70, 91, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , , , , , , 2, , , Thieving, 5120, , Corxatrice, BIGPECKS_
259, Vulatrice, ROCK, GROUND, PETRIFY, SAND_STREAM, , 513, 94, 119, 91, 60, 70, 79, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , , , 2, , , , , , Prayer, 5120, , Vulatrice, OVERCOAT
260, Pengatrice, ROCK, ICE, PETRIFY, SLUSH_RUSH, , 513, 60, 79, 70, 94, 91, 119, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , 2, , , , , , , , Fishing, 5120, , Pengatrice, SLUSH_RUSH
261, Chocatrice, ROCK, FAIRY, PETRIFY, SWEET_VEIL, , 513, 119, 60, 79, 91, 70, 94, , -, -, 156, slow, 50, 45, 0, 20, FLYING, MONSTER, 0, , , , , , 2, , , , Quest, 5120, , Chocatrice, SWEET_VEIL
262, Sproutling_Summer_Form, GRASS, FIRE, FORECAST, FORECAST, , 417, 90, 70, 80, 70, 80, 27, , -, -, 124, medium fast, Genderless, 120, 70, 15, GRASS, , 0, , 2, , , , , , , , Farming, 3840, , Sproutling, DROUGHT
263, Sproutling_Spring_Form, GRASS, FAIRY, FORECAST, FORECAST, , 417, 90, 27, 70, 80, 70, 80, , -, -, 123, medium fast, Genderless, 120, 70, 15, GRASS, , 0, , 2, , , , , , , , Farming, 3840, , Sproutling, MISTY_SURGE
264, Sproutling_Winter_Form, GRASS, ICE, FORECAST, FORECAST, , 417, 90, 70, 80, 70, 80, 27, , -, -, 124, medium fast, Genderless, 120, 70, 15, GRASS, , 0, , 2, , , , , , , , Farming, 3840, , Sproutling, SNOW_WARNING
265, Sproutling_Autumn_Form, GRASS, GROUND, FORECAST, FORECAST, , 417, 90, 80, 70, 27, 80, 70, , -, -, 124, medium fast, Genderless, 120, 70, 15, GRASS, , 0, , 2, , , , , , , , Farming, 3840, , Sproutling, SAND_STREAM
266, Rue, PSYCHIC, DRAGON, SYNCHRONIZE, SYMBIOSIS, , 480, 80, 45, 65, 75, 110, 105, , -, -, 154, medium fast, 100, 80, 100, 20, AMORPHOUS, , 0, , , , , 2, , , , , Runecrafting, 5120, , Rue, SYMBIOSIS
267, Monty, STEEL, -, NO_GUARD, DEFIANT, , 480, 75, 150, 55, 46, 44, 110, , -, -, 154, medium fast, 0, 45, 20, 20, DRAGON, , 0, , , 2, , , , , , , Attack, 5120, , Monty, NO_GUARD
268, Zygomite, GRASS, FAIRY, EFFECT_SPORE, DAMP, , 480, 100, 60, 80, 100, 100, 40, , -, -, 154, medium fast, 50, 45, 70, 15, GRASS, FAIRY, 0, , , , , , 2, , , , Farming, 3840, , Zygomite, DAMP
269, Abyssaling, BUG, -, ABYSSAL, HYPER_CUTTER, , 241, 37, 43, 43, 34, 41, 43, , -, -, 36, medium slow, 50, 255, 70, 15, BUG, AMORPHOUS, 0, , , , , , , 1, , , Runecrafting, 3840, ABYSS, Abyssaling, TECHNICIAN
270, Abyssal_Minion_Form, BUG, -, ABYSSAL, HYPER_CUTTER, , 296, 53, 61, 43, 43, 43, 53, , -, -, 67, medium slow, 50, 250, 70, 15, BUG, AMORPHOUS, 0, , , , , , , 2, , , Runecrafting, 3840, ABYSS, Abyssal, TECHNICIAN
271, Abyssal_Demon_Form, PSYCHIC, BUG, ABYSSAL, HYPER_CUTTER, , 538, 67, 111, 83, 83, 97, 97, , -, -, 125, medium slow, 50, 45, 70, 15, BUG, AMORPHOUS, 0, , , 1, , , , 2, , , Slayer, 3840, ABYSS, Abyssal, TECHNICIAN
272, Abyssal_Sire_Form, PSYCHIC, BUG, PRESSURE, ABYSSAL, , 620, 97, 143, 97, 143, 97, 43, , -, -, 207, Slow, 50, 45, 70, 15, BUG, AMORPHOUS, 0, , , 3, , , 1, , , , Slayer, 3840, ABYSS, Abyssal, SWARM_
273, Abyssal_Leech_Form, PSYCHIC, BUG, ABYSSAL, LIQUID_OOZE, , 296, 61, 53, 43, 53, 43, 43, , -, -, 56, medium slow, 50, 130, 70, 15, BUG, AMORPHOUS, 0, , , , , , , 1, , , Runecrafting, 3840, ABYSS, Abyssal, 
274, Abyssal_Parasite_Form, PSYCHIC, BUG, ABYSSAL, LIQUID_OOZE, , 428, 89, 89, 61, 61, 71, 57, , -, -, 89, medium slow, 50, 200, 70, 15, BUG, AMORPHOUS, 0, , , , , , 2, , , , Runecrafting, 3840, ABYSS, Abyssal, LIQUID_OOZE
275, Abyssal_Lurker_Form, PSYCHIC, -, ABYSSAL, SWARM, , 294, 61, 31, 41, 61, 47, 53, , -, -, 53, medium slow, 50, 130, 70, 15, BUG, AMORPHOUS, 0, , , 2, , , , , , , Summoning, 3840, ABYSS, Abyssal, LIQUID_OOZE
276, Abyssal_Walker_Form, PSYCHIC, -, ABYSSAL, SWARM, , 432, 61, 83, 61, 83, 83, 61, , -, -, 83, medium slow, 50, 130, 70, 15, BUG, AMORPHOUS, 0, , , 2, , , , , , , Runecrafting, 3840, ABYSS, Abyssal, 
277, Abyssal_Titan_Form, PSYCHIC, FIGHTING, IRON_FIST, ABYSSAL, , 538, 97, 111, 97, 83, 83, 67, , -, -, 160, medium slow, 50, 45, 70, 15, BUG, AMORPHOUS, 0, , , 2, , , , , , , Summoning, 3840, ABYSS, Abyssal, LIQUID_OOZE
278, Tz_Kih, ROCK, FIRE, FLAME_BODY, FLAME_BODY, , 270, 40, 80, 20, 35, 20, 75, , -, -, 54, medium fast, 50, 200, 30, 15, MINERAL, , 0, , , , , , , 1, , , Smithing, 3840, TZHAAR, Tz Kih, FLASH_FIRE
279, Tz_Kek, ROCK, FIRE, FLAME_BODY, FLAME_BODY, , 410, 80, 80, 75, 80, 45, 50, , -, -, 86, medium fast, 50, 120, 30, 15, MINERAL, , 0, , , , 1, , , , , , Smithing, 3840, TZHAAR, Tz Kek, FLASH_FIRE
280, Tok_Xil, ROCK, FIRE, FLAME_BODY, FLAME_BODY, , 530, 85, 100, 95, 100, 95, 55, , -, -, 146, medium fast, 50, 45, 30, 15, MINERAL, , 0, , , , 2, , , , , , Smithing, 3840, TZHAAR, Tok Xil, FLASH_FIRE
281, Tz_Kih_Spirit_Form, FIRE, FAIRY, FLAME_BODY, FLAME_BODY, , 530, 60, 105, 50, 105, 105, 105, , -, -, 146, medium fast, 50, 45, 30, 15, MINERAL, , 0, , , , , , , 2, , , Smithing, 3840, TZHAAR, Tz Kih, 
282, Ket_Dill, ROCK, GROUND, ARENA_TRAP, RUN_AWAY, , 410, 80, 70, 100, 70, 45, 45, , -, -, 146, medium slow, 50, 120, 30, 15, MINERAL, , 0, , , , 2, , , , , , Mining, 3840, TZHAAR, Ket Dill, MAGMA_ARMOR
283, Ket_Zek, ROCK, GROUND, MAGMA_ARMOR, FLASH_FIRE, , 530, 85, 80, 95, 110, 65, 95, , -, -, 146, medium slow, 50, 45, 30, 15, MINERAL, , 0, , , , 2, 1, , , , , Mining, 3840, TZHAAR, Ket Zek, ARENA_TRAP
284, Yt_HurKot, FIRE, ROCK, MAGMA_ARMOR, MAGICIAN, , 410, 60, 65, 70, 90, 80, 45, , -, -, 111, medium slow, 50, 110, 30, 15, MINERAL, , 0, , , , , 2, , , , , Magic, 3840, TZHAAR, Yt HurKot, MAGICIAN
285, Yt_MejKot, FIRE, ROCK, MAGMA_ARMOR, MAGICIAN, , 530, 85, 95, 100, 95, 100, 55, , -, -, 154, medium slow, 50, 45, 30, 15, MINERAL, , 0, , , , , 2, , , , , Magic, 3840, TZHAAR, Yt MejKot, MAGICIAN
286, TzRek_Jad, FIRE, GROUND, MAGMA_ARMOR, MAGMA_ARMOR, , 270, 50, 50, 60, 45, 30, 35, , -, -, 130, slow, 0, 45, 0, 20, MINERAL, MONSTER, 0, , , 2, , , , , , , Smithing, 5120, TZHAAR, TzRek Jad, CUTE_CHARM
287, TzTok_Jad, FIRE, GROUND, MAGMA_ARMOR, MAGMA_ARMOR, , 570, 100, 110, 120, 105, 65, 70, , -, -, 154, slow, 0, 20, 0, 20, MINERAL, MONSTER, 0, , , 3, , , , , , , Smithing, 5120, TZHAAR, TzTok Jad, PRESSURE
288, JalTok_Jad, FIRE, STEEL, STURDY, MAGMA_ARMOR, , 570, 100, 105, 75, 105, 120, 65, , -, -, 189, slow, 0, 20, 0, 20, MINERAL, , 0, , , 3, , , , , , , Smithing, 5120, TZHAAR, JalTok Jad, DROUGHT
289, Jal_MejRah, FLYING, STEEL, STURDY, MAGMA_ARMOR, , 270, 60, 50, 60, 40, 50, 10, , -, -, 110, medium slow, 50, 110, 30, 20, MINERAL, , 0, , , 3, , , , , , , Smithing, 5120, TZHAAR, Jal MejRah, FLAME_BODY
290, Jal_Ak, FIRE, STEEL, SHED_SKIN, MAGMA_ARMOR, , 410, 80, 70, 100, 70, 55, 35, , -, -, 140, medium slow, 50, 45, 30, 20, MINERAL, , 0, , , , 1, , , , , , Smithing, 5120, TZHAAR, Jal Ak, FLAME_BODY
291, Jal_Xil, FIRE, STEEL, STURDY, MAGMA_ARMOR, , 530, 105, 100, 105, 105, 75, 40, , -, -, 140, medium fast, 50, 45, 30, 15, MINERAL, , 0, , , , 1, , , , , , Smithing, 3840, TZHAAR, Jal Xil, 
292, Jal_Nib, GROUND, STEEL, STURDY, MAGMA_ARMOR, , 410, 80, 80, 80, 80, 60, 30, , -, -, 120, medium slow, 50, 45, 30, 20, MINERAL, , 0, , , , 2, , , , , , Smithing, 5120, TZHAAR, Jal Nib, ARENA_TRAP
293, Jal_ImKot, POISON, STEEL, STURDY, MAGMA_ARMOR, , 530, 95, 110, 80, 90, 60, 95, , -, -, 140, medium slow, 50, 45, 30, 20, MINERAL, , 0, , , , 2, , , , , , Smithing, 5120, TZHAAR, Jal ImKot, FLAME_BODY
294, Jal_Zek, FIRE, STEEL, STURDY, MAGMA_ARMOR, , 530, 110, 80, 110, 110, 80, 40, , -, -, 217, medium slow, 50, 45, 30, 20, MINERAL, , 0, , , , 2, , , , , , Smithing, 5120, TZHAAR, Jal Zek, FLAME_BODY
295, TzKal_Zuk, FIRE, STEEL, MAGMA_ARMOR, DROUGHT, , 690, 120, 140, 120, 140, 125, 45, , -, -, 246, slow, 0, 20, 0, 20, MINERAL, , 0, , , , 2, , , , , , Smithing, 5120, TZHAAR, TzKal Zuk, DROUGHT
296, Duckling, WATER, -, OBLIVIOUS, RAIN_DISH, , 250, 60, 35, 40, 25, 40, 50, , -, -, 42, medium fast, 50, 250, 70, 10, FLYING, WATER_1, 0, , , , , , 1, , , , Constitution, 2560, DUCK, Duckling, UNAWARE
297, Swan, WATER, -, STRONG_JAW, RAIN_DISH, , 306, 56, 30, 55, 30, 55, 80, , -, -, 89, medium fast, 50, 3, 0, 120, FLYING, WATER_1, 0, , , , , , 3, , , , Firemaking, 30720, DUCK, Swan, STRONG_JAW
298, Duck_Normal_Form, WATER, FLYING, OBLIVIOUS, RAIN_DISH, , 395, 70, 60, 75, 65, 75, 50, , -, -, 110, medium fast, 50, 120, 70, 10, FLYING, WATER_1, 0, , , , , , 2, , , , Constitution, 2560, DUCK, Duck, UNAWARE
299, Mega_Duck, WATER, FLYING, THICK_FAT, RAIN_DISH, , 505, 160, 55, 95, 55, 95, 45, , -, -, 154, medium fast, 50, 45, 70, 10, FLYING, WATER_1, 0, , 2, , , , , , , , Constitution, 2560, DUCK, Mega Duck, UNAWARE
300, Duck_Cart_Form, STEEL, DRAGON, PRESSURE, SPEED_BOOST, , 505, 70, 100, 110, 75, 75, 75, , -, -, 154, medium fast, 50, 45, 70, 10, FLYING, WATER_1, 0, , , , 2, , , 1, , , Quest, 2560, DUCK, Duck, INTIMIDATE
301, Platypode, POISON, -, POISON_TOUCH, STICKY_HOLD, , 254, 69, 45, 40, 30, 40, 30, , -, -, 56, fast, 50, 200, 70, 10, WATER_3, WATER_2, 0, , , , 1, , , , , , Hunter, 2560, HUNTER, Platypode, POISON_TOUCH
302, Platypus, POISON, WATER, POISON_TOUCH, STICKY_HOLD, , 485, 95, 75, 95, 70, 95, 55, , -, -, 89, fast, 50, 125, 70, 10, WATER_3, WATER_2, 0, , , , 2, , , , , , Hunter, 2560, HUNTER, Platypus, POISON_TOUCH
303, Fledgling, WATER, -, INTIMIDATE, DRY_SKIN, , 260, 30, 85, 35, 35, 35, 40, , -, -, 52, medium slow, 50, 190, 70, 15, WATER_3, MONSTER, 0, , , 1, , , , , , , Attack, 3840, DAGANNOTH, Fledgling, DRY_SKIN
304, Dagannoth_Normal_Form, WATER, -, INTIMIDATE, DRY_SKIN, , 380, 50, 80, 65, 70, 60, 55, , -, -, 57, medium slow, 50, 45, 30, 15, WATER_3, MONSTER, 0, , , 2, , , , , , , Attack, 3840, DAGANNOTH, Dagannoth, DRY_SKIN
305, Dagannoth_Guardian_Form, WATER, STEEL, INTIMIDATE, DRY_SKIN, , 495, 75, 105, 85, 70, 85, 75, , -, -, 89, medium slow, 50, 45, 30, 15, WATER_3, MONSTER, 0, , , 2, 1, , , , , , Attack, 3840, DAGANNOTH, Dagannoth, DRY_SKIN
306, Dagannoth_King_Range_Form, WATER, ROCK, INTIMIDATE, DRY_SKIN, , 560, 85, 115, 60, 115, 75, 110, , -, -, 143, medium slow, 0, 25, 30, 15, WATER_3, MONSTER, 0, , , 2, , , , 1, , , Ranged, 3840, DAGANNOTH, Dagannoth, DRY_SKIN
307, Dagannoth_King_Magic_Form, WATER, FAIRY, INTIMIDATE, DRY_SKIN, , 560, 85, 80, 80, 125, 100, 90, , -, -, 143, medium slow, 0, 25, 30, 15, WATER_3, MONSTER, 0, , , , , 3, , , , , Magic, 3840, DAGANNOTH, Dagannoth, DRY_SKIN
308, Dagannoth_King_Melee_Form, WATER, DRAGON, INTIMIDATE, DRY_SKIN, , 560, 85, 125, 100, 80, 80, 90, , -, -, 143, medium slow, 0, 25, 30, 15, WATER_3, MONSTER, 0, , , 3, , , , , , , Attack, 3840, DAGANNOTH, Dagannoth, DRY_SKIN
309, Dagannoth_King_Range_Mega_Form, WATER, ROCK, SKILL_LINK, SKILL_LINK, , 660, 85, 165, 60, 145, 75, 130, , -, -, 232, slow, 0, 15, 30, 20, WATER_3, , 0, , , 2, , , , 1, , , Ranged, 5120, DAGANNOTH, Dagannoth, SKILL_LINK
310, Dagannoth_King_Magic_Mega_Form, WATER, FAIRY, MAGIC_GUARD, MAGIC_GUARD, , 660, 85, 80, 90, 185, 130, 90, , -, -, 232, slow, 0, 15, 30, 20, WATER_3, , 0, , , , , 3, , , , , Magic, 5120, DAGANNOTH, Dagannoth, MAGIC_GUARD
311, Dagannoth_King_Melee_Mega_Form, WATER, DRAGON, STRONG_JAW, STRONG_JAW, , 660, 85, 185, 130, 80, 90, 90, , -, -, 232, slow, 0, 15, 30, 20, WATER_3, , 0, , , 3, , , , , , , Attack, 5120, DAGANNOTH, Dagannoth, STRONG_JAW
312, Chaos_Ele, FAIRY, GHOST, TRACE, MOODY, , 624, 98, 113, 99, 113, 103, 98, , -, -, 238, slow, Genderless, 3, 30, 20, UNDISCOVERED, , 0, , , 2, , , 2, , , , Divination, 5120, , Chaos Ely, MARVEL_SCALE
313, Chaos_Ele_Mega_Form, FAIRY, GHOST, TRACE, MOODY, , 724, 98, 153, 109, 113, 153, 98, , -, -, 228, slow, Genderless, 3, 30, 20, UNDISCOVERED, , 0, , , 2, , , 2, , , , Divination, 5120, , Chaos Ely, MOODY
314, Bandling, STEEL, -, GLORY, GLORY, , 310, 55, 60, 70, 45, 35, 45, , -, -, 42, medium slow, 12.5, 180, 70, 20, FLYING, , 0, , , , 1, , , , , , Strength, 5120, BIRD / STARTER, Bandling, STEELWORKER_
315, Bandbird, STEEL, FLYING, GLORY, GLORY, , 405, 60, 85, 80, 50, 60, 70, , -, -, 80, medium slow, 12.5, 120, 70, 20, FLYING, , 0, , , , 2, , , , , , Strength, 5120, BIRD / STARTER, Bandbird, STEELWORKER_
316, Bandeagle, STEEL, FLYING, GLORY, GLORY, , 500, 70, 125, 110, 75, 55, 65, , -, -, 150, medium slow, 12.5, 45, 70, 20, FLYING, , 0, , , , 3, , , , , , Strength, 5120, BIRD / STARTER, Bandeagle, STEELWORKER_
317, Zaroling, DARK, -, EMPTY_LORD, EMPTY_LORD, , 310, 60, 70, 25, 75, 35, 45, , -, -, 52, medium slow, 12.5, 180, 70, 20, FLYING, , 0, , , 1, , 1, , , , , Divination, 5120, BIRD / STARTER, Zaroling, DARK_AURA
318, Zarobird, DARK, FLYING, EMPTY_LORD, EMPTY_LORD, , 405, 40, 115, 30, 115, 45, 60, , -, -, 75, medium slow, 12.5, 120, 70, 20, FLYING, , 0, , , 2, , 2, , , , , Divination, 5120, BIRD / STARTER, Zarobird, DARK_AURA
319, Zaraven, DARK, FLYING, EMPTY_LORD, EMPTY_LORD, , 500, 50, 125, 40, 125, 80, 80, , -, -, 156, medium slow, 12.5, 45, 70, 20, FLYING, , 0, , , 1, , 3, , , , , Divination, 5120, BIRD / STARTER, Zaraven, DARK_AURA
320, Sereling, ICE, -, CRYSTAL_BEING, CRYSTAL_BEING, , 310, 55, 20, 45, 70, 80, 40, , -, -, 55, medium slow, 12.5, 180, 70, 20, FLYING, , 0, , , , , , 1, , , , Summoning, 5120, BIRD / STARTER, Sereling, SNOW_WARNING
321, Serebird, ICE, FLYING, CRYSTAL_BEING, CRYSTAL_BEING, , 405, 70, 40, 40, 90, 100, 65, , -, -, 89, medium slow, 12.5, 120, 70, 20, FLYING, , 0, , , , , , 2, , , , Summoning, 5120, BIRD / STARTER, Serebird, SNOW_WARNING
322, Serepea, ICE, FLYING, CRYSTAL_BEING, CRYSTAL_BEING, , 500, 80, 65, 45, 110, 140, 60, , -, -, 140, medium slow, 12.5, 45, 70, 20, FLYING, , 0, , , , , , 3, , , , Summoning, 5120, BIRD / STARTER, Serepea, SNOW_WARNING
323, Frogspawn, WATER, -, SWIFT_SWIM, SWIFT_SWIM, , 180, 30, 30, 30, 30, 30, 30, , -, -, 34, fast, 50, 255, 70, 10, WATER_1, LIFE, 0, , , , , , , 1, , , Fishing, 2560, FROG, Frogspawn, SIMPLE
324, Frog_Normal_Form, WATER, -, SWIFT_SWIM, SOUNDPROOF, , 275, 50, 35, 30, 45, 45, 70, , -, -, 67, fast, 50, 190, 70, 10, WATER_1, LIFE, 0, , , , , , , 2, , , Cooking, 2560, FROG, Frog, SIMPLE
325, Giant_Frog_Normal_Form, WATER, -, SWIFT_SWIM, SOUNDPROOF, , 430, 85, 50, 45, 80, 70, 100, , -, -, 102, fast, 50, 120, 70, 10, WATER_1, LIFE, 0, , , , , , , 2, , , Cooking, 2560, FROG, Giant Frog, SIMPLE
326, Giant_Frog_Royal_Form, WATER, FAIRY, QUEENLY_MAJESTY, SOUNDPROOF, , 515, 95, 65, 65, 95, 80, 115, , -, -, 112, fast, 50, 65, 70, 10, WATER_1, LIFE, 0, , , , , , , 2, , , Quest, 2560, FROG, Royal Frog, SIMPLE
327, Frog_Bloated_Form, FLYING, -, LEVITATE, NO_GUARD, , 430, 140, 45, 25, 55, 35, 130, , -, -, 120, fast, 50, 110, 70, 10, WATER_1, LIFE, 0, , 3, , , , , , , , Hunter, 2560, FROG, Huge Frog, NO_GUARD
328, Frog_Balloon_Form, FLYING, -, LEVITATE, NO_GUARD, , 485, 240, 80, 15, 80, 50, 20, , -, -, 132, fast, 50, 90, 70, 10, WATER_1, LIFE, 0, , 3, , , , , , , , Hunter, 2560, FROG, Huge Frog, NO_GUARD
329, Toad_Barker_Form, WATER, POISON, SWIFT_SWIM, SOUNDPROOF, , 515, 85, 85, 85, 90, 90, 80, , -, -, 132, fast, 50, 65, 70, 10, WATER_1, LIFE, 0, , , , , , , 2, , , Summoning, 2560, FROG, BarkerToad, MERCILESS
