ID, NAME, DEX ENTRY, HEIGHT, WEIGHT, DEX NUMBER, CATEGORY, COUNT, Creature in RuneScape
195, Squirrel, Happily jumping around without a care in the world. They often forget where they bury their nuts., 2.4, 9.1, 133, Nut Eater, 9, Squirrel
196, Ravenling, Hatched from a black egg. They rarely leave their nest on purpose., 2.2, 6.8, 134, Nevermore, 9, Raven Chick
197, Raven_Normal_Form, Known to pick up anything shiny. If you find a birds nest with a ring in it### it most likely belonged to a raven., 5.7, 99.8, 135*, Raven, 5, Raven
198, Raven_Nevermore_Form, Once upon a midnight dreary this ghastly grim and ancient raven can be found wandering from the nightly shore., 5.7, 99.8, 135*, Raven, 5, Raven (Prifddinas)
199, Raven_Spooky_Form, It flies in the night while calling for its ghostly friends. Not many show up., 0, 0, , Spooky, 6, 
200, Raven_Crystal_Form, Said to be the harbringer of the end### their allegience is to Seren., 0, 0, , Crystal, 7, 
201, Crow, A flock of crows often lurks around cities looking for food., 0, 0, , Crow, 4, 
202, Magpie, It picks up shiny objects from everywhere. But is most known by summoners for its horrible cockney accent., 2.6, 22.7, 136, ShinyHunter, 11, Magpie
203, Chinchompa_Grey_Form, Capable of running great lengths. All barbers in Misthalin use them as energy., 1.5, 35.4, 137, Exploding, 9, Baby Chinchompa
204, Chinchompa_Red_Form, While usually passive### if provoked### they will put their all into exploding as a last resort., 2.5, 40.8, 138, Ferocious, 9, Chinchompa
205, Chinchompa_Gold_Form, A chinchompa with a golden coloration. They sell for a wealthy prize but do not explode., 2.5, 40.8, 139, Undetonated, 11, Golden chinchompa
206, Vultling, Rarely leaving its nest before they can fly### they survive on scraps given by their parents., 2.4, 31.8, 140, Vulture, 7, Vulture (Small)
207, Vulture, Preying mostly on carcasses### they are important to the ecosystem as they remove diseased bodies from the world., 6.3, 131.5, 141, Scavending, 10, Vulture
208, Pengling, Young and immature### they mature fast as they learn of their oppressors., 2.9, 18.1, 142, Penguin, 7, Penguin (Small)
209, Penguin, Secret agents of the K.G.P on an undercover mission. Easily bribed by fish and cowbells., 4.8, 86.2, 143, KGP, 3, Penguin
210, Penguin_Clockwork_Form, Penguin toy made of clockwork. If someone was small enough to fit### they could probably control it from the inside., 3.6, 27.2, 401, Automation, 10, Clockwork penguin
211, The_Thing, A perfectly normal sheep. In no way is it collecting information about you to use against you., 10.2, 499.0, , Unspying, 8, Not a sheep
212, Ping, A musician fighting against the K.G.P from the inside., 0, 0, , Rock star, 9, 
213, Pong, Rebellious in spirit its song invokes glee and glamour in penguins., 0, 0, , Heavy metal, 11, 
214, Penguin_McGraw_Form, A penguin wearing a hat to distinguish itself from other penguins similar to it., 0, 0, , Hatted, 6, 
215, Penguin_Spy_Form, The vanguard of the K.G.P who investigate everything related to humans and their world., 0, 0, , Spy, 3, 
216, Penguin_Agent_Form, A agent from the K.G.P fighting endlessly to take over the world., 0, 0, , K.G.P, 5, 
217, Penguin_Disguise_Cactus_Form, Disguising themselves as cactus these spies roam the desert., 0, 0, , Cacti, 5, 
218, Penguin_Disguise_Rock_Form, Next to a pet rock it's hard to tell which one might pick up a stick., 0, 0, , Rock  , 6, 
219, Penguin_Disguise_Bush_Form, In forests they stand perfectly still to not be spotted by anyone or anything., 0, 0, , Bush, 4, 
220, Penguin_Disguise_Box_Form, Hiding in boxes allows them to check urban areas for intelligence., 0, 0, , Box, 3, 
221, ExExParrot, Used to be a real parrot but they are no more### it's gone### and it longs for the fjords., 3.7, 68.0, 144, Dead, 4, Ex_Ex_Parrot
222, Broav, With a great sense of smell### they are able to find anything from truffles to secret trapdoors., 10.9, 435.4, 145, Smelling, 8, Broav
223, Tooths, A creature created by the magic of the Tooth Fairy. They turn rotten if they eat chocolate., 7.1, 340.2, 146, Fang, 4, Tooth Creature
224, Rune_Guardian, Created by rune crafting wizards### this automation is easily influenced by runic energy., 8.9, 136.1, 147, Rune Golem, 10, Rune Guardian
225, Gnomey, Given to winners of the Golden Gnome awards. Most being for pity or lack of competition., 5.2, 272.2, 148, Unwarranted, 11, Golden Gnome
226, Sparkles, A tinsel snake celebrating Christmas. They refuse to curl around a tree., 8.0, 31.8, 149, TinselSnake, 11, Sparkles
227, Bat, Using echolocation they find their prey. They usually don't come out during the day., 2.7, 2.3, 150, Bat, 3, Bat
228, Giant_Bat, One of the biggest bats there are. They have recently been hunted to make magic armour., 7.5, 13.6, 151, Giant Bat, 9, Giant Bat
229, Warped_Bat, A bat warped by unknown energy. They have become aggressive; but not necessarily that strong., 7.5, 13.6, 152, Bat, 3, Warped Bat
230, Albino_Bat, Found in Mos Le'Harmless. These bats have lost all colour in their bodies. , 7.5, 13.6, 153, White Bat, 9, Albino bat
231, Bat_Box_Form, Mostly used as court evidence### these bats are perfectly sheltered from sunlight., 3.8, 4.5, 154, Wittness, 8, Bat in a Box
232, Fruit_Bat, Despite their vampyric cousins### these bats love fruit among all things. Especially papaya., 7.5, 13.6, 155, Herbivore, 9, Fruit Bat
233, VampyreBat, Whenever it clings to its enemies### it will not let go until it is full of blood., 7.5, 13.6, 156, BloodSuckin, 11, Vampire Bat
234, Deathwing, A rare bat only found in the deep caves of the Kharazi jungles., 0, 0, , Deathwing, 9, 
235, Shaikah, Feared as the scourge of Karamja. This beast is hard to fell., 0, 0, , Shaikah, 7, 
236, Growler, The bodyguard of Commander Zilyana and the vanguard of the Saradomin army., 0, 0, , Growling, 8, 
237, Phoenling_Rebirth_Form, A baby phoenix. A wonder unthought of for many millennia. It loves attention., 2.6, 13.6, 167*, Reborn, 6, Baby Phoenix (Cute)
238, Phoenling_Reborn_Form, Hatching from an egg already cracked by the feet of reckless adventurers### this baby phoenix is bitter and bad to the bone., 2.6, 13.6, 167*, Rebirthed, 9, Baby Phoenix (Mean)
239, Phoenix_Rebirth_Form, A bird born of fire### if it dies it would simply return from its ashes., 6.0, 122.5, 168*, Ascended, 8, Phoenix
240, Phoenix_Reborn_Form, Arisen from the ashes### this phoenix vows to burn down the homes of anyone who has wronged it., 6.0, 122.5, 168*, Incadescent, 11, Phoenix (Wintertodt)
241, Plant_Strange_Form, A plant that can grow anywhere. But if the fruit isn't picked it will attack., 0, 0, , Strange, 7, 
242, Plant_Stranger_Form, A summoning familiar known to be even stranger than the strange plant., 0, 0, , Stranger, 8, 
243, EvilTurnip, A turnip so dastardly evil### not even demons dare to go near it. It gives the Evil Chicken a run for its title., 3.1, 68.0, 169, Evil Turnip, 11, Evil Turnip
244, Creature_Cute_Form, A cute and innocent creature that would never harm you### spy on you### or find your deepest### darkest secrets., 2.9, 81.6, 170, Innocent, 8, Cute Creature
245, Creature_Evil_Form, Their true form finally revealed### these creatures are nefarious spies used by Glouphrie the Untrusted., 2.9, 81.6, 170*, Guilty, 6, Evil Creature
246, Baby_Yak, A yak that can hardly growl 'baroo'. With long locks of hair### they eat any grass they come across., 11.4, 213.2, 171, Babyroo, 7, Baby Yak
247, Yak_Normal_Form, Making their home in the islands of Neitiznot### their fur and hide are used to make clothes., 17.6, 714.4, 172, Yak, 3, Yak_Normal_Form
248, Yak_Pack_Form, A companion to any and all adventurers### the pack yaks will not stop at any weight to bring gear to their summoner., 17.6, 925.3, 173, Baroo, 5, Pack Yak
249, Yak_Sacred_Form, A Yak said to be holy and sacred. Its presence is an omen of good., 17.6, 925.3, 174, Enlightened, 11, Sacred Yak
250, Yak_ClueScroll_Form, It carries a hefty amount of clue scrolls### but without any interest in reading them. Not that it has the ability to. , 17.6, 925.3, 175, Treasure, 8, Clue Scroll Yak
251, Yak_Undead_Form, When a yak dies### that is usually it. Unless they become zombie yaks., 17.6, 925.3, , Zombie Yak, 10, Zak
252, Yak_Snack_Form, A yak tasked with the important duty of bearing the food supply for an entire winter### without eating it., 17.6, 925.3, , Snacking, 8, Snack Yak
253, Minitrice, The smallest of all cockatrices. They may not even be able to petrify a human., 4.2, 45.4, 176, Minitrice, 9, Minitrice
254, Cockatrice, Born of a rooster and snake### these monsters lay eggs to increase their numbers., 8.9, 127.0, 177, Egg Laying, 10, Cockatrice
255, Guthatrice, A green egg corrupted to become a Guthatrice. Their view on balance is rocky at best., 8.9, 127.0, 178, Balanctrice, 11, Guthatrice
256, Zamatrice, A red egg corrupted to become a Zamatrice. They petrify any who defies chaos., 8.9, 127.0, 179, Chaostrice, 10, Zamatrice
257, Saratrice, A blue egg corrupted to become a Saratrice. Their eyes gaze upon any who do not uphold order., 8.9, 127.0, 180, Wisdomtrice, 11, Saratrice
258, Corxatrice, A black egg corrupted to become a Corxatrice. They get really sad when they find shiny things and they turn to stone., 8.9, 127.0, 181, Nevrmotrice, 11, Corxatrice
259, Vulatrice, A vulture egg corrupted to become a Vulatrice. Hoarding the deserts for food### they often petrify their meal accidentally., 8.9, 127.0, 182, Scavngtrice, 11, Vultatrice
260, Pengatrice, A penguin egg corrupted to become a Pengatrice. It is unknown if it sides with the K.G.P., 8.9, 127.0, 183, Kgptrice, 8, Pengatrice
261, Chocatrice, A chocolate monster full of anger over its state. Its gaze will turn monsters to chocolate., 8.9, 127.0, 184, Fudgetrice, 10, Chocatrice
262, Sproutling_Summer_Form, A sprout that changes its appearance depending on the season. By summer### its leaves have matured and are now a rich green colour., 5.7, 68.0, 185*, Summer, 6, Pet of Summer
263, Sproutling_Spring_Form, A sprout that changes its appearance depending on the season. In the spring### its leaves resemble cherry blossoms., 5.7, 68.0, 185*, Spring, 6, Pet of Spring
264, Sproutling_Winter_Form, A sprout that changes its appearance depending on the season. In the winter it sheds its leaves### ready to blossom again in the spring., 5.7, 68.0, 185*, Winter, 6, Pet of Winter
265, Sproutling_Autumn_Form, A sprout that changes its appearance depending on the season. In the autumn### its leaves turn a golden brown before they're shed for winter., 5.7, 68.0, 185*, Autumn, 6, Pet of Autumn
266, Rue, A dragon made of runic energy. They are known to sometimes steal adventurers' runes as snacks., 5.5, 88.5, 191, Rune Dragon, 11, Rue
267, Monty, Unchosen by the people### they live only to claim revenge on their hated enemy. Refuses to rest until their blade tastes blood., 8.5, 106.6, 192, DArtaconda, 10, Monty
268, Zygomite, A mushroom hailing from Zanaris### the moon of Gielinor., 12.7, 167.8, 193, Mushroom, 8, Zygomite
269, Abyssaling, A spawn from the abyssal realm. While young### they are very aggressive., 5.2, 40.8, 194, Unsired, 7, Abyssal Spawnling
270, Abyssal_Minion_Form, A minion to the hive mind of the abyssal pathways. They wander the abyss in search of intruders., 7.9, 276.7, 195, Abby Minion, 11, Abyssal Minion
271, Abyssal_Demon_Form, A demon from the abyssal realm. They are said to manipulate the fabric of space to teleport., 10.1, 489.9, 196, RiftWeaving, 11, Abyssal Demon
272, Abyssal_Sire_Form, An abyssal demon of phenomenal power. It acts as if the gateway to the abyss goes through its body., 28.6, 3415.6, 197, Sired, 5, Abyssal Sire
273, Abyssal_Leech_Form, They make their home in the abyss where they attack anything they can see., 0, 0, , Leech, 5, 
274, Abyssal_Parasite_Form, A parasite from the abyss. They cling to their host; sucking them dry of energy., 3.5, 68.0, 198, Parasite, 8, Abyssal Parasite
275, Abyssal_Lurker_Form, Gets their name from lurking the abyss. In Gielinor### they simply follow their summoners., 3.9, 131.5, 199, Lurker, 6, Abyssal Lurker
276, Abyssal_Walker_Form, Their name as walkers come from how their best trait is they have legs., 0, 0, , Walker, 6, 
277, Abyssal_Titan_Form, A titan from the abyss summoned by a summoning obelisk. It's unclear if it enjoys serving others., 19.0, 893.6, 200, Abby Giant, 10, Abyssal Titan
278, Tz_Kih, Smallest of the wild beings of the TzHaar volcano. They fly around in the fight caves., 5.2, 63.5, 201, Kih, 3, Tz_Kih
279, Tz_Kek, A fighter of the Fight Caves### they were originally builders of the Elder God Ful., 10.3, 362.9, 202, Kek, 3, Tz_Kek
280, Tok_Xil, They fire deadly spines out of their arms### projected by their own heat., 22.0, 734.8, 203, Xil , 4, Tok_Xil
281, Tz_Kih_Spirit_Form, The spirit of a Tz-Kih brought to life by a summoner. These creatures feed on people's prayers., 0, 0, , Tzhaar, 6, 
282, Ket_Dill, A plague upon the TzHaar volcano. These monsters are hunted for their meat but are hard to catch., 17.3, 839.1, 204, KetDill, 7, Ket_Dill
283, Ket_Zek, A strong monster from the Fight Caves capable of firing great balls of fire from their bodies., 29.9, 1719.1, 205, Zek, 3, Ket_Zek
284, Yt_HurKot, It's unknown for what reason### but these monsters seem to heal stronger monsters of the TzHaar., 3.7, 72.6, 206, Hurkot, 6, Yt_HurKot
285, Yt_MejKot, Possessing great strength they are a threat to any challenger of the Fight Caves. They struggle with small spaces., 25.5, 1197.5, 207, Mejkot, 6, Yt_MejKot
286, TzRek_Jad, A small creature that loves exploring what lies beyond the TzHaar volcano., 7.5, 394.6, 208, Mini Jad, 8, TzRek_Jad
287, TzTok_Jad, A monster and king of the Fight Caves. Warriors who beat one are presented with a fire cape., 46.7, 4554.1, 209, Jad, 3, TzTok_Jad
288, JalTok_Jad, Superior variant of the TzTok-Jad. Opposed to being leaders in their own right### they become guardians of the imprisoned leader TzKal-Zuk., 50.5, 7543.2, 215, New Jad, 7, JalTok_Jad
289, Jal_MejRah, Ancestor of the Tz-Kih. They fly around in the Inferno., 5.3, 154.2, 211, Merah, 5, Jal_MejRah
290, Jal_Ak, Superior variant of the Tz-Kek. They are slow and powerful., 10.7, 521.6, 212, Ak, 2, Jal_Ak
291, Jal_Xil, Researchers conclude that it is distantly related to the Tok-Xil., 0, 0, , Xil, 3, 
292, Jal_Nib, Often referred to as 'Nibblers'. They are at the bottom of the food chain in the Inferno., 2.1, 99.8, 210, Nib, 3, Jal_Nib
293, Jal_ImKot, A monster found in the Inferno. They possess extremely powerful claws that let them claw at their opponents., 25.9, 1796.2, 213, Imkot, 5, Jal_ImKot
294, Jal_Zek, Superior variant of the Ket-Zek. They hurl large### projectile fire balls at their enemies. They are also capable of reviving their allies., 30.4, 3551.6, 214, Zek, 3, Jal_Zek
295, TzKal_Zuk, A dangerous entity that got imprisoned deep below the TzHaar City during the ancient times. Sacrifices are regularly send to keep it at bay., 64.9, 13369.6, 216, Zuk, 3, TzKal_Zuk
296, Duckling, With huge self-doubts### they fear that they might be truly ugly. Its parents are unaware., 0.9, 0.9, 217, Duckling, 8, Baby Duck
297, Swan, Possessing teeth infused with infernal energy and a scream that makes any grown man scared### these demons attack any who oppose them., 5.3, 59.0, 218, Demon Bird, 10, Swan
298, Duck_Normal_Form, Waddling along playfully through the Falador park. Some say they can grow to enormous sizes., 3.8, 13.6, 219, Duck, 4, Duck
299, Mega_Duck, The biggest duck on Gielinor. At some point they will go on a holy pilgrimage to the far off land of Feldip., 4.8, 31.8, 220, Mega Duck, 9, Mega duck
300, Duck_Cart_Form, A duck that climbed on top of a cart and has since never moved. It is now the king of the minecart., 3.8, 13.6, 221, SupremeDuck, 11, Duck on a cart
301, Platypode, Small and weak### they attack back with poison to any who harm them., 1.9, 9.1, 222, Pode, 4, Baby platypode
302, Platypus, A pest to any resort owners. These monsters make great pets for hunters., 3.4, 27.2, 223, Platypus, 8, Platypus
303, Fledgling, Having just grown big enough to move### these monsters are ready to eat anything., 6.5, 45.4, 224, Fledgling, 9, Daganoth Fledgeling
304, Dagannoth_Normal_Form, A monster that is the sworn enemy of the Fremennik. They hail from Waterbirth Island., 12.7, 154.2, 225*, DaggerTooth, 11, Dagannoth
305, Dagannoth_Guardian_Form, Dagannoth whose sole purpose in life is to guard the Dagannoth Mother., 12.7, 154.2, 225*, DaggerGuard, 11, Dagannoth Sentinal
306, Dagannoth_King_Range_Form, The kings of the Dagannoth### each possessing great strength above any normal Dagannoth. They serve their queen., 32.4, 2685.3, 226*, Supreme  , 9, Dagannoth Supreme
307, Dagannoth_King_Magic_Form, Rumoured to fly on Northern winds### this Dagannoth King known as 'Prime' possesses innate magical abilities., 32.4, 2685.3, 226*, Prime, 5, Dagannoth Prime
308, Dagannoth_King_Melee_Form, The firstborn of the Dagannoth Kings### this one is known as 'Rex'. He serves his Queen by attacking enemies with vicious claws., 32.4, 2685.3, 226*, Rex, 3, Dagannoth Rex
309, Dagannoth_King_Range_Mega_Form, Dagannoth Supreme's true form. His ranged accuracy when shooting spikes at adventurers is unmatched by any other dagannoth., 32.4, 2685.3, 226*, Supreme, 7, 
310, Dagannoth_King_Magic_Mega_Form, Dagannoth Prime's true form. His magical ability is so strong that he is immune even to the dark art of necromancy., 32.4, 2685.3, 226*, Prime, 5, 
311, Dagannoth_King_Melee_Mega_Form, Dagannoth Rex's true form. No other dagannoth comes close to matching his raw physical strength., 32.4, 2685.3, 226*, Rex, 3, 
312, Chaos_Ele, An elemental of pure chaotic energy. Its powers and behaviour are unpredictable to any enemy or friend alike., 19.9, 1977.7, 227*, Chaos , 6, Chaos Elemental
313, Chaos_Ele_Mega_Form, Now emerged from the cloud it had shrouded itself behind### but still as unpredictable as ever. This is the true manifestation of chaos. , 19.9, 1977.7, 227*, EllementL, 9, Chaos Elemental (RS3)
314, Bandling, Hatched from a brown egg### this little bird seeks only conflict., 1.5, 12.7, 228, Small Claw, 10, Bandosling
315, Bandbird, If there are peaceful times### this bird will fly to great lengths to find a war to fight in., 3.6, 44.0, 229, Young Eagle, 11, Bandos bird
316, Bandeagle, Used by Bandosian warlords as weapons### their claws have felled many soldiers on the battlefield., 6.3, 90.7, 230, War Eagle, 9, Bandos eagle
317, Zaroling, Hatched from a purple egg### its motivations and goal are a mystery., 1.5, 10.4, 231, SmalGlimmer, 11, Zarosling
318, Zarobird, It closes its eyes and remains in solitude. Some say their presence is empty., 3.6, 34.9, 232, Young Raven, 11, Zaros bird
319, Zaraven, Possessing dark powers unheard of### these ravens appear at the darkest of times to watch over the world., 6.3, 73.5, 233, Empty Raven, 11, Zaros raven
320, Sereling, Hatched from a cyan egg### these birds shine in pure light., 1.5, 10.0, 234, Small Light, 11, Serenling
321, Serebird, Peacefully jittering along### they love to sing in harmonic tunes., 3.6, 36.3, 235, Young Fowl, 10, Seren bird
322, Serepea, While not a great flier### they refract light in a great many directions due to their crystals., 6.3, 78.2, 236, Crystal Pea, 11, Seren peacock
323, Frogspawn, Unable to move### the frogspawn patiently wait for their bodies to grow., 0.4, 1.4, 237, Frogspawn, 9, Frogspawn
324, Frog_Normal_Form, Denizen of any pond or lake### the frog will ribbit in the face of any foe., 1.4, 11.3, 238, Frog , 5, Frog_Normal_Form
325, Giant_Frog_Normal_Form, A frog grown to large size. They are hunted by the Dorgeshuun for food., 5.6, 47.6, 239, Cuisine, 7, Giant frog
326, Giant_Frog_Royal_Form, A royal member cursed to become a frog. Only a kiss from an adventurer could ever save them., 5.6, 63.5, 240, Distressed, 10, Royal frog
327, Frog_Bloated_Form, A frog infused with swamp gas. They are not very mobile and are easy prey for Chompies., 7.2, 86.2, 241, Flatulence, 10, Bloated toad
328, Frog_Balloon_Form, A very gassy toad that has no ability to move. Only being held down by the rock it's tied to. They hate their lives., 7.2, 86.2, 242, Balloon , 8, Toad balloon
329, Toad_Barker_Form, A summoned monster from the spirit realm. They get their name from the sound they make when attacking., 7.2, 86.2, 243, Loud Toad, 9, Barker toad
330, Frogeel, An abomination made by the Homunculi. Part frog part eel### it does not comprehend its existence., 6.7, 99.8, 244, Frogeel, 7, Frogeel
331, Spiderling, While small### these spiders are used by inexperienced mages for training., 0.5, 0.4, 245, Spider, 6, Spider
332, Spider_Giant_Form, Capable of growing quite big### these spiders are usually not a threat to seasoned adventurers., 4.3, 2.7, 246*, GiantSpider, 11, Giant Spider
333, Spider_DeadlyRed_Form, Sporting the name 'deadly red spider'### these spiders protect their eggs from hoarders., 5.1, 3.2, 247, Deadly Red, 10, Deadly Red Spider
334, Spider_Jungle_Form, Since they live in the jungle### they have a green coloration. This makes them invisible to see on maps., 12.0, 68.0, 250, Jungle, 6, Jungle Spider
335, Spider_Blessed_Form, Spider that is blessed by the son of Zamorak### Iban. They are led by their brood Kalrag., 12.0, 68.0, 249, Iban Spider, 11, Blessed Spider
336, Spider_Huge_Form, So big they almost seem unrealistic### they lure adventurers closer to investigate further. They then promptly devour the adventurers whole., 4.3, 2.7, 246*, HouseSpider, 11, Huge Spider
337, Spider_Night_Form, They lurk the ruins of Daemonheim. But it is most known for possessing a hood that makes you invisible., 12.0, 68.0, 248, NightSpider, 11, Night Spider
338, Spider_Ice_Form, Its body is made of ice### making it one of very few cold-blooded insects., 12.0, 68.0, 251, Ice Spider, 10, Ice Spider
339, Spider_Spirit_Form, A spider conjured by summoners. It is often used by herblorists as a safe way to scavenge for red spiders' eggs., 0, 0, , Spider, 6, 
340, Eek, A really scary spider who loves webbing houses for the Spider Queen. Not doing so is an offense and will leave a spider in your bathtub., 0.5, 0.9, 252, Friendly, 8, Eek
341, MinstrlWeb, It is customary for the lord of Death### Harold### to always have cobwebs in his house. If not### this spider will punish him., 12.0, 68.0, 253, Bathtub, 7, Spider in a bathtub
342, Sarachnis, A spider known to be the leader of temple spiders. Looming from above to hunt its prey., 0, 0, , Looming, 7, 
343, Venenatis, It finds its nest in the Wilderness where it awaits for unwitting prey to ambush., 0, 0, , Acidic, 6, 
344, Spidine, Staring eerily at anyone with its many eyes. It is unsure if its life was a folly or a mistake., 4.3, 10.4, 254, Nutritious, 10, Spidersardine
345, Crayfish, One of the weakest water creatures there is. Very envious of shrimps., 1.8, 4.5, 28, Clenching, 9, Crayfish
346, Shrimp, Often one of the first things fished by adventurers### shrimp never stay alone., 0.8, 1.8, 29, Shrimping, 9, Shrimps
347, Lobster_Normal_Form, Praised by some as the best food in the free world. They are mostly found by the Karamja docks., 2.3, 13.6, 30, Clamping, 8, Lobster_Normal_Form
348, Lobster_Golden_Form, A lobster so rare they are mostly found in player-owned homes. They are easily recognized by their blue shell., 2.3, 27.2, , Contraction, 11, Golden lobster
349, Lobster_Giant_Form, These highly aggressive lobsters are only found in Witchaven., 16.6, 353.8, , Clinching, 9, Giant lobster
350, Lobster_Heim_Form, Found near the shores of Daemonheim### these lobsters are quite big### but otherwise harmless to all., 2.3, 27.2, , Tightening, 10, DH Lobster
351, Lobster_Obsidian_Form, A rare and elusive lobster. Fabled as an unbelievably rare creature### people are willing to pay 100k for one. Limited time offer., 2.3, 27.2, , Scam, 4, Obsidian Lobster
352, Crab_Red_Form, Their pincers are designed to hold on to their enemies. But at this stage### they are too small to effectively use them., 1.9, 13.6, , Crab, 4, Crab
353, Giant_Crab_Red_Form, Capable of dealing massive damage### these crabs use their mighty pincers to battle., 2.9, 31.8, , Giant Crab, 10, Giant Crab
354, Crab_Moss_Form, Once a year### crabs come out of their shell to grow bigger### but they are vulnerable while doing so., 1.9, 13.6, , Moss Crab, 9, Mossy Crab
355, Giant_Crab_Moss_Form, These crabs are mostly herded by Mogres; ogres living underwater. Their meat is a delicacy., 2.9, 31.8, , Mossy Claw, 10, Mossy giant crab
356, Crab_RumPumped_Form, This small crab has been pumped with alcohol since its birth. , 0, 0, , Drunk, 5, 
357, Giant_Crab_RumPumped_Form, A crab pumped full of rum under the orders of Rabid Jack. They are served as a delicacy in Menaphos., 1.9, 13.6, , Rum Pumped, 10, Rum pumped crab
358, Crab_Dark_Form, A small adolescent crab possessing dark power it will never unleash., 0, 0, , Dark, 4, 
359, Giant_Crab_Dark_Form, Crabs that are so elusive and rare that even expert fishermen have trouble fishing them. Or living long enough to return to the bank with them., 1.9, 13.6, , Dark Crab, 9, Dark crab
360, Crab_Grey_Form, While initially gray or blue coloured### they turn red when they get boiled alive., 0, 0, , Gray, 4, 
361, Giant_Crab_Grey_Form, They fight with their pincers for rights to mate### but most end up eaten by sharks., 0, 0, , Clawed, 6, 
362, Knife_Crab, By giving a crab a knife### it is said their attack power triples. They are a threat to behold as they dance., 1.9, 13.6, , Armed, 5, Knife Crab
363, Heim_Crab, A delicious### cute### and sweet crab found in the deep ruins of Daemonheim., 1.9, 13.6, , Heim Crab, 9, Heim Crab
364, WebSnipper, When adventurers Marmaros and Thok explored Daemonheim### these crabs would snip their fishing nets., 1.9, 13.6, , Web Snipp, 9, Web snipper
365, Blue_Crab, Easily recognized by their blue shell### these crabs linger in the deep caverns of Daemonheim., 1.9, 13.6, , Blue Crab, 9, Blue crab
366, Crablet_First_Form, A small crab more known for what they carry on their back. Which can vary in a lot of ways., 1.3, 9.1, , Crabling, 8, Crablet
367, Crablet_Second_Form, A small crab with a light coating of salt. These are less sought after than their crystal counterparts., 0, 0, , Crabling, , 
368, Crablet_Third_Form, This small crab is covered in regular salt crystals. The crystals are harvested and used to make arc gumbo., 0, 0, , Crabling, , 
369, Crablet_Forth_Form, This small crab is covered in special### golden### salt crystals. The crystals are harvested and used to make the rare delicacy shark soup., 0, 0, , Crabling, , 
370, Crablet_Fifth_Form, A small crab carrying a golden idol on its back. Adventurers often try to obtain this to exchange it with merchants., 0, 0, , Crabling, , 
371, Crawler_Cave_Form, Crawlers who search for food all day. They once became famous due to a combat expert., 5.6, 72.6, 255, Crawling, 8, Cave crawler
372, Crawler_Chasm_Form, A far larger cave crawler who might venture deeper into caves than their younger counterparts., 6.0, 77.1, 256, Crawler, 7, Chasm crawler
373, Crawler_Monstrous_Form, The apex of the cave crawlers. Their bodies are so solid### moss and plants have begun growing on them., 8.7, 235.9, 257, Crawled, 7, Monstreous crawler
374, Winston, Small tortoises bred by the Grand Tree for use as mounts. They love cabbage., 2.2, 13.6, 258, Baby Turtle, 11, Baby Tortoise
375, Tortoise_Normal_Form, These large creatures are usually ridden by 3 gnome warriors### each using a different combat style., 9.8, 176.9, 259, Tortoise, 8, Tortoise_Normal_Form
376, Tortoise_Warped_Form, Tortoise warped by Aposandra but the experiment failed. They now lurk the poison waste sewers., 10.0, 204.1, 260, Aposandran, 10, Warped Tortoise
377, Tortoise_War_Form, A summonable tortoise that loves to carry items. Its offense is pitiable however., 10.0, 204.1, 261, Burdened, 8, War Tortoise
378, Valluta, A guardian of Guthix sent to fend off the void invasion. It can finish off a Pest Queen easily., 11.6, 235.9, 262, Protector, 9, Valluta
379, Sea_Turtle, These sea turtles sometimes get caught by fishing trawlers. Therefore### they are hard to catch in bulk., 7.5, 108.9, 263, Sea Turtle, 10, Sea Turtle
380, Sea_Turtle_Treasure_Form, Carrying a great fortune on its back### fishermen perceive it as a sign of luck., 0, 0, , Treasure, 8, 
381, Herbert, A small and plantlike being often mistaken for a toad by passing adventurers., 0, 0, , Herblore, 8, 
382, Xinachto, A guardian spirit who holds the key to the anima mundi of its world. It feels shackled to the body it has., 16.3, 1134.0, 293, Xinachto, 8, Xinachto
383, Cave_Slime, A slime that seemingly absorbs nutrients as it goes. It's unclear if they possess a will., 6.2, 0.5, 264, Slime , 6, Cave slime
384, Jelly_Normal_Form, A gelatinous blob of slime### what is inside it is seemingly skeletons and organs. It is unknown where they came from., 14.5, 4.5, 265, Jelly, 5, Jelly_Normal_Form
385, Jelly_Warped_Form, A jelly so warped it could never be served to anyone. Its insides are beyond comprehension., 14.5, 4.5, 266, Cube, 4, Warped Jelly
386, Jelly_Spirit_Form, Even in the spirit realm there exists jellies. Eating humans will cause them indigestion., 14.5, 4.5, 267, Box, 3, Spirit Jelly
387, AbbySpectr, Their bodies are covered in slime### no one but other ghosts would dare to hug it., 18.3, 780.2, 432, Spectre, 7, Abby spectre
388, Salamander_Green_Form, A green swamp lizard usually found in Morytania. They love Guam leaves., 1.2, 25.4, 268, Guam, 4, Salamander
389, Salamander_Orange_Form, Apparently related to desert lizards. They can fire a fiery breath at their enemies., 1.2, 25.4, 269, Marrentil, 9, Orange salamander
390, Salamander_Red_Form, Usually found around lava### these Salamanders have a fondness for herbs., 1.2, 25.4, 270, Torrentil, 9, Red salamander
391, Salamander_Black_Form, Found only in the Wilderness### these salamanders are rarely hunted due to the dangers of the Wilderness., 1.2, 25.4, 271, Harralder, 9, Black salamander
